1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
2.396617681,2.68073036,2.566652679,2.485771753,2.659700482,2.99670305,2.677170083,2.783350557,2.610597411,2.735395205,2.458225792,2.477735877
2.444319749,2.650964819,2.515534711,2.398688614,2.591321622,2.993324169,2.605618097,2.769216824,2.501173018,2.782456457,2.267807065,2.215356141
2.468069808,2.600255177,2.476538257,2.351518926,2.561503314,3.002371751,2.476733459,2.760070074,2.381141776,2.65594143,2.135479354,1.975144831
2.51855482,2.533172507,2.448781688,2.345623505,2.552115107,2.954599556,2.241726996,2.761797704,2.151983393,2.501375519,1.979146702,1.846744268
2.654766049,2.473735704,2.426471248,2.359250125,2.520568786,2.923604438,1.908317886,2.748732181,1.940105686,2.317283453,1.827471455,1.789162779
2.666846217,2.414251615,2.423082802,2.403339188,2.417025156,2.96887489,1.745364267,2.706621391,1.70228423,2.129956573,1.799006466,1.717052051
2.575259925,2.358140688,2.410347472,2.459537529,2.301946974,2.931733218,1.63259782,2.622021326,1.513148056,1.95104431,1.842095312,1.643734648
2.49180685,2.306802813,2.390751741,2.489975596,2.231788848,3.00812314,1.66849869,2.517159463,1.421473626,1.679815394,1.957586837,1.584596168
2.389267384,2.263879376,2.36609593,2.500995692,2.156663536,2.956470557,1.755644275,2.388059558,1.416356411,1.45641991,2.130340792,1.591584374
2.283162337,2.243651576,2.32885935,2.473141966,2.089292454,2.896627568,1.918465392,2.246519812,1.499364478,1.344296294,2.38825364,1.578029135
2.198346916,2.231046419,2.275975087,2.396859485,2.090773899,2.815774668,2.094616631,2.112089227,1.705064339,1.28376884,2.613920248,1.511668764
2.130991968,2.236257912,2.213133559,2.271312997,2.068450077,2.680255382,2.103893326,2.041346128,2.031445101,1.28084842,2.796943659,1.386507347
2.069985667,2.26552571,2.126044285,2.099932409,2.029234137,2.520947987,2.07083654,1.890966918,2.422471173,1.295861845,2.699083543,1.154888492
2.126793021,2.303306881,2.042557811,1.898351506,1.908417178,2.313463161,2.062327266,1.66262926,2.815563943,1.295337566,2.502851707,0.951812292
2.269656708,2.352448696,1.965430597,1.683543306,1.784601127,2.039725795,2.044516305,1.443125006,3.14561494,1.267355329,2.224201334,0.900609318
2.562661947,2.423921195,1.903337025,1.487498561,1.625285393,1.68334441,1.996284635,1.229070648,3.309262392,1.200934045,1.873853791,1.189667484
2.900956809,2.506435309,1.877822324,1.333581639,1.419210798,1.356206573,1.903360154,1.124044657,3.37540234,1.095884402,1.557901111,1.613389454
3.245496851,2.605232993,1.881140717,1.235952748,1.233138508,1.109623232,1.69657656,1.079535179,3.409496226,1.00495991,1.290776647,2.047801913
