Year,Month,Week,Chl
1980,1,1,15.78757166
1980,1,2,20.85157081
1980,1,3,23.24661908
1980,1,4,24.41581741
1980,2,5,23.71728742
1980,2,6,20.26072627
1980,2,7,16.64663579
1980,2,8,13.4084148
1980,3,9,11.64963275
1980,3,10,11.96176958
1980,3,11,12.30522869
1980,3,12,12.42893514
1980,4,13,12.69802053
1980,4,14,11.74075392
1980,4,15,10.74693293
1980,4,16,10.06722405
1980,4,17,9.334984231
1980,5,18,8.954125019
1980,5,19,8.178155469
1980,5,20,7.424303959
1980,5,21,6.337448174
1980,6,22,5.594428381
1980,6,23,5.299009774
1980,6,24,5.134191946
1980,6,25,5.509204077
1980,7,26,6.168280985
1980,7,27,7.137995183
1980,7,28,8.087055822
1980,7,29,9.496193012
1980,7,30,11.15773086
1980,8,31,12.95561226
1980,8,32,15.20464216
1980,8,33,16.71267424
1980,8,34,17.42243842
1980,9,35,17.4774502
1980,9,36,16.27004462
1980,9,37,13.97078018
1980,9,38,11.53952448
1980,9,39,10.17481314
1980,10,40,8.325021712
1980,10,41,6.652583483
1980,10,42,5.073195226
1980,10,43,3.92444971
1980,11,44,3.163856348
1980,11,45,2.864409184
1980,11,46,2.854065822
1980,11,47,3.37629227
1980,12,48,4.641304006
1980,12,49,6.736862997
1980,12,50,9.328515895
1980,12,51,12.62786282
1980,12,52,11.20517481
1981,1,1,16.27123574
1981,1,2,19.6373977
1981,1,3,19.78758015
1981,1,4,18.12079366
1981,2,5,15.44045691
1981,2,6,13.05724643
1981,2,7,13.32730703
1981,2,8,14.30386999
1981,3,9,14.17387941
1981,3,10,11.82732456
1981,3,11,8.983397855
1981,3,12,6.602993172
1981,3,13,5.355961233
1981,4,14,4.663753713
1981,4,15,4.176385649
1981,4,16,3.907817104
1981,4,17,3.397073857
1981,5,18,3.148361399
1981,5,19,2.996836141
1981,5,20,3.025691682
1981,5,21,3.350508291
1981,6,22,4.064718046
1981,6,23,4.883665295
1981,6,24,5.682403241
1981,6,25,6.687849735
1981,6,26,7.506583041
1981,7,27,7.859093125
1981,7,28,8.255964804
1981,7,29,8.780627438
1981,7,30,9.237867684
1981,8,31,9.532642642
1981,8,32,8.892677806
1981,8,33,8.056535426
1981,8,34,7.436008074
1981,8,35,8.13875581
1981,9,36,8.527105265
1981,9,37,8.475921029
1981,9,38,7.266275641
1981,9,39,6.032574684
1981,10,40,5.319251302
1981,10,41,5.10739781
1981,10,42,4.115042653
1981,10,43,3.593570367
1981,11,44,3.437492485
1981,11,45,3.329499656
1981,11,46,3.296490801
1981,11,47,3.292403871
1981,11,48,3.546635764
1981,12,49,4.05766997
1981,12,50,4.72011465
1981,12,51,5.390986022
1981,12,52,5.293663745
1982,1,1,4.580340358
1982,1,2,4.009848075
1982,1,3,3.655082865
1982,1,4,3.401578023
1982,2,5,3.321440478
1982,2,6,3.516814951
1982,2,7,4.1406477
1982,2,8,5.301946519
1982,3,9,6.906093166
1982,3,10,8.467794868
1982,3,11,8.3586364
1982,3,12,6.521817017
1982,3,13,4.773300659
1982,4,14,3.683339566
1982,4,15,3.097438007
1982,4,16,2.650529236
1982,4,17,2.403363071
1982,5,18,2.216291234
1982,5,19,2.346657209
1982,5,20,2.739262634
1982,5,21,3.620933799
1982,6,22,5.717719608
1982,6,23,8.791494858
1982,6,24,11.7679795
1982,6,25,14.75521834
1982,6,26,15.85091148
1982,7,27,16.98495196
1982,7,28,17.07062239
1982,7,29,15.92821594
1982,7,30,13.94179935
1982,8,31,12.5350625
1982,8,32,11.17384485
1982,8,33,9.644037212
1982,8,34,9.340903254
1982,8,35,8.997364209
1982,9,36,9.359726468
1982,9,37,9.849548683
1982,9,38,10.23506991
1982,9,39,10.51877955
1982,10,40,10.55154443
1982,10,41,9.084782146
1982,10,42,6.746426615
1982,10,43,5.207450809
1982,11,44,4.561255156
1982,11,45,4.300581921
1982,11,46,4.399701751
1982,11,47,4.910411566
1982,11,48,6.069996185
1982,12,49,7.686567482
1982,12,50,9.076200559
1982,12,51,9.830430585
1982,12,52,8.917885368
1983,1,1,7.315080631
1983,1,2,6.366290221
1983,1,3,5.879334392
1983,1,4,4.725335235
1983,1,5,3.42402706
1983,2,6,2.703546347
1983,2,7,2.216546719
1983,2,8,2.002265458
1983,2,9,2.231880357
1983,3,10,2.766324168
1983,3,11,3.535991733
1983,3,12,4.148310003
1983,3,13,5.110021771
1983,4,14,6.696202152
1983,4,15,8.884522226
1983,4,16,11.67173292
1983,4,17,14.28953196
1983,5,18,15.19553598
1983,5,19,15.13695458
1983,5,20,14.38332234
1983,5,21,12.72705634
1983,5,22,10.8394774
1983,6,23,10.07615828
1983,6,24,9.432402105
1983,6,25,8.534554741
1983,6,26,8.201730136
1983,7,27,8.626888343
1983,7,28,9.467865207
1983,7,29,10.3843799
1983,7,30,10.55648627
1983,8,31,10.58980884
1983,8,32,10.75357813
1983,8,33,10.50961046
1983,8,34,11.11813606
1983,8,35,12.32884126
1983,9,36,12.22894307
1983,9,37,12.28170838
1983,9,38,12.79855148
1983,9,39,13.6225722
1983,10,40,15.33005708
1983,10,41,16.37037304
1983,10,42,15.2361393
1983,10,43,14.64657928
1983,10,44,14.73041467
1983,11,45,15.32489901
1983,11,46,16.74404933
1983,11,47,19.02091307
1983,11,48,21.22419693
1983,12,49,22.65509886
1983,12,50,20.52764835
1983,12,51,14.72403478
1983,12,52,9.09209949
1984,1,1,5.348392342
1984,1,2,3.573503825
